registros,I_Cmp,I_Und
3,CANETA ESFEROGRÁFICA,67
3,CANETA ESFEROGRÁFICA,CAIXAS COM 50
3,CANETA ESFEROGRÁFICA,"0,16"
3,CANETA ESFEROGRÁFICA,CX 50UND
3,CANETA ESFEROGRÁFICA,CAIXA COM 100
3,CANETA ESFEROGRÁFICA,CAIXA / C 50 UND
3,CANETA ESFEROGRÁFICA,CX C/ 50 U
3,CANETA ESFEROGRÁFICA,CAIXA 25 UNIDADES
3,CANETA ESFEROGRÁFICA,PCT.
3,CANETA ESFEROGRÁFICA,"0,36"
3,CANETA ESFEROGRÁFICA,"CAIXA 500,00 UN"
3,CANETA ESFEROGRÁFICA,CAIXA DE 50 UNID.
3,CANETA ESFEROGRÁFICA,"CAIXA 1000,00 FL"
3,CANETA ESFEROGRÁFICA,"*PACOTE 500,00 FL"
3,CANETA ESFEROGRÁFICA,C/1
3,CANETA ESFEROGRÁFICA,CAIXA COM 100 UNIDAD
3,CANETA ESFEROGRÁFICA,CAIXA 25 UNID
3,CANETA ESFEROGRÁFICA,CAIXA ( 50 UND )
3,CANETA ESFEROGRÁFICA,FRASCO
3,CANETA ESFEROGRÁFICA,"CAIXA 50,00 UNID"
3,CANETA ESFEROGRÁFICA,CXA COM 50
3,CANETA ESFEROGRÁFICA,PACOTES
3,CANETA ESFEROGRÁFICA,CAIXA C/ 25 UNID
3,CANETA ESFEROGRÁFICA,"8,75"
3,CANETA ESFEROGRÁFICA,25
3,CANETA ESFEROGRÁFICA,DEMANDA
3,CANETA ESFEROGRÁFICA,"CAIXA 2500,00 UN"
3,CANETA ESFEROGRÁFICA,"CAIXA 50,00 UNIDADES"
3,CANETA ESFEROGRÁFICA,"*FRASCO 40,00 ML"
3,CANETA ESFEROGRÁFICA,CJ
3,CANETA ESFEROGRÁFICA,PCTE
3,CANETA ESFEROGRÁFICA,"FRASCO 40,00 ML"
3,CANETA ESFEROGRÁFICA,CAIXA COM 50 CADA
3,CANETA ESFEROGRÁFICA,PC.
3,CANETA ESFEROGRÁFICA,"CAIXA 0000050,00 UN"
3,CANETA ESFEROGRÁFICA,"CAIXA 500,00 FL"
3,CANETA ESFEROGRÁFICA,"ROLO 250,00 G"
3,CANETA ESFEROGRÁFICA,300
3,CANETA ESFEROGRÁFICA,UMA (CAIXA)
3,CANETA ESFEROGRÁFICA,CX C 50
3,CANETA ESFEROGRÁFICA,CAIXA C/50UN
3,CANETA ESFEROGRÁFICA,1450
3,CANETA ESFEROGRÁFICA,CXS.
3,CANETA ESFEROGRÁFICA,CAIXA C 50 UND
3,CANETA ESFEROGRÁFICA,CX-50
3,CANETA ESFEROGRÁFICA,CAIXAS COM 50 UNI
3,CANETA ESFEROGRÁFICA,CAIXA COM CINQUENTA
3,CANETA ESFEROGRÁFICA,CAIXA 50
3,CANETA ESFEROGRÁFICA,CAIXA COM 25 UN
3,CANETA ESFEROGRÁFICA,CAIXA C/50 UN
3,CANETA ESFEROGRÁFICA,31
3,CANETA ESFEROGRÁFICA,CAIXAS C/50 UNIDADES
3,CANETA ESFEROGRÁFICA,CT
3,CANETA ESFEROGRÁFICA,CAIXA C/50 UN.
3,CANETA ESFEROGRÁFICA,"PACOTE 250,00 G"
3,CANETA ESFEROGRÁFICA,CX C/25
3,CANETA ESFEROGRÁFICA,"CAIXA 1000,00 ML"
3,CANETA ESFEROGRÁFICA,BLOCO
3,CANETA ESFEROGRÁFICA,"CAIXA C/ 50,00 UN"
3,CANETA ESFEROGRÁFICA,A PEÇA
3,CANETA ESFEROGRÁFICA,CX C/50 UNID.
3,CANETA ESFEROGRÁFICA,1350
3,CANETA ESFEROGRÁFICA,CAIXA C/50UNIDADES
3,CANETA ESFEROGRÁFICA,CX 50UN
2,CANETA ESFEROGRÁFICA,CX C/12 UNID
2,CANETA ESFEROGRÁFICA,"CAIXA 10,00 FL"
2,CANETA ESFEROGRÁFICA,CAIXA COM 25-UNIDADE
2,CANETA ESFEROGRÁFICA,CA COM 50 UNIDADE
2,CANETA ESFEROGRÁFICA,PT
2,CANETA ESFEROGRÁFICA,CX 50
2,CANETA ESFEROGRÁFICA,CX. C/ 50
2,CANETA ESFEROGRÁFICA,TUBO 8G
2,CANETA ESFEROGRÁFICA,CAIXAS C/50UN
2,CANETA ESFEROGRÁFICA,UNIT.
2,CANETA ESFEROGRÁFICA,A PECA
2,CANETA ESFEROGRÁFICA,"CAIXA 50,00 UN."
2,CANETA ESFEROGRÁFICA,CAIXA C/ 12
2,CANETA ESFEROGRÁFICA,CX 12 UND
2,CANETA ESFEROGRÁFICA,PACOTE COM 50 UNID
2,CANETA ESFEROGRÁFICA,"CAIXA 00000025,00"
2,CANETA ESFEROGRÁFICA,CAIXA COM 50 UNIDS.
2,CANETA ESFEROGRÁFICA,1262
2,CANETA ESFEROGRÁFICA,"FARDO 64,00 RO"
2,CANETA ESFEROGRÁFICA,BT
2,CANETA ESFEROGRÁFICA,A CAIXA
2,CANETA ESFEROGRÁFICA,PCTE COM 20 UNID
2,CANETA ESFEROGRÁFICA,CAXIA
2,CANETA ESFEROGRÁFICA,CX.COM 50 UNID. COR
2,CANETA ESFEROGRÁFICA,CX. 50 UN
2,CANETA ESFEROGRÁFICA,CXA C/25UND
2,CANETA ESFEROGRÁFICA,-
2,CANETA ESFEROGRÁFICA,CAIXA (50UNID)
2,CANETA ESFEROGRÁFICA,50
2,CANETA ESFEROGRÁFICA,UNIDA
2,CANETA ESFEROGRÁFICA,UNID
2,CANETA ESFEROGRÁFICA,CAX
2,CANETA ESFEROGRÁFICA,"0,29"
2,CANETA ESFEROGRÁFICA,UNIDADE
2,CANETA ESFEROGRÁFICA,"ROLO 50,00 M"
2,CANETA ESFEROGRÁFICA,"ROLO 25,00 M"
2,CANETA ESFEROGRÁFICA,FL
2,CANETA ESFEROGRÁFICA,"CAIXA 00000050,0 UND"
2,CANETA ESFEROGRÁFICA,CAIXA 12 UNIDADES
2,CANETA ESFEROGRÁFICA,EST.
2,CANETA ESFEROGRÁFICA,TUBO
2,CANETA ESFEROGRÁFICA,CANETAS
2,CANETA ESFEROGRÁFICA,CAIXA COM 24 UNIDADE
2,CANETA ESFEROGRÁFICA,2150
2,CANETA ESFEROGRÁFICA,CAIXA 25UNID
2,CANETA ESFEROGRÁFICA,"*PACOTE 100,00 UN"
2,CANETA ESFEROGRÁFICA,23
2,CANETA ESFEROGRÁFICA,FRASCO 18ML
2,CANETA ESFEROGRÁFICA,CX. C/ 50 UN
2,CANETA ESFEROGRÁFICA,CX C/12 UNIDS
2,CANETA ESFEROGRÁFICA,28
2,CANETA ESFEROGRÁFICA,"BLOCO 50,00 FL"
2,CANETA ESFEROGRÁFICA,"PACOTE 50,00 FL"
2,CANETA ESFEROGRÁFICA,TB
2,CANETA ESFEROGRÁFICA,CEM
2,CANETA ESFEROGRÁFICA,CAIXA C/50 UNIDADE
2,CANETA ESFEROGRÁFICA,CXA C/50
2,CANETA ESFEROGRÁFICA,"*PACOTE 500,00 UN"
2,CANETA ESFEROGRÁFICA,CONJ
2,CANETA ESFEROGRÁFICA,TUBO 90G
2,CANETA ESFEROGRÁFICA,"FRASCO 40,00 G"
2,CANETA ESFEROGRÁFICA,EMBALAGEM
2,CANETA ESFEROGRÁFICA,UNIDS
2,CANETA ESFEROGRÁFICA,CAIXA COM 100UNID
2,CANETA ESFEROGRÁFICA,1100
2,CANETA ESFEROGRÁFICA,CAIXAS 50 UN
2,CANETA ESFEROGRÁFICA,PCTE COM 100G
2,CANETA ESFEROGRÁFICA,"LATA 500,00 G"
2,CANETA ESFEROGRÁFICA,CXA C/50UND.
2,CANETA ESFEROGRÁFICA,VINTE
2,CANETA ESFEROGRÁFICA,CAIXAS COM CINQUENTA
2,CANETA ESFEROGRÁFICA,"TUBO 50,00 UN"
2,CANETA ESFEROGRÁFICA,"0,39"
2,CANETA ESFEROGRÁFICA,BLC
2,CANETA ESFEROGRÁFICA,CAIXA 00000050 UND
2,CANETA ESFEROGRÁFICA,CX. C/50 UN.
2,CANETA ESFEROGRÁFICA,UNDIDADE
2,CANETA ESFEROGRÁFICA,CX C/ 50 UND.
2,CANETA ESFEROGRÁFICA,CAIXA 50 UND.
2,CANETA ESFEROGRÁFICA,CX 12 UN
2,CANETA ESFEROGRÁFICA,CX. C/50
2,CANETA ESFEROGRÁFICA,UMA'
2,CANETA ESFEROGRÁFICA,200
2,CANETA ESFEROGRÁFICA,GRUPO
2,CANETA ESFEROGRÁFICA,CAIXA 50X01
2,CANETA ESFEROGRÁFICA,"0,26"
2,CANETA ESFEROGRÁFICA,"0,18"
2,CANETA ESFEROGRÁFICA,CX COM 12
2,CANETA ESFEROGRÁFICA,CAIXA COM 50UND.
2,CANETA ESFEROGRÁFICA,49
2,CANETA ESFEROGRÁFICA,CAIXA COM 50UNID
2,CANETA ESFEROGRÁFICA,34
2,CANETA ESFEROGRÁFICA,CX COM 50 UNIDADE
2,CANETA ESFEROGRÁFICA,MT
2,CANETA ESFEROGRÁFICA,CAIXA C/100
2,CANETA ESFEROGRÁFICA,PCT 50 UNIDADES
2,CANETA ESFEROGRÁFICA,CAIXA C/50UN.
2,CANETA ESFEROGRÁFICA,CAIXA COM 6
2,CANETA ESFEROGRÁFICA,CAIXA C/12 UNIDS
2,CANETA ESFEROGRÁFICA,CAIXA 12 UN
2,CANETA ESFEROGRÁFICA,M2
2,CANETA ESFEROGRÁFICA,"CARTELA 25,00 FL"
2,CANETA ESFEROGRÁFICA,CAIXA C/ 50 UND.
2,CANETA ESFEROGRÁFICA,CAIXA_C/ 50 UNIDADES
2,CANETA ESFEROGRÁFICA,PROREXT
1,CANETA ESFEROGRÁFICA,"PACOTE 6,00 UN"
1,CANETA ESFEROGRÁFICA,CAIXAS C/ 12 UNIDADE
1,CANETA ESFEROGRÁFICA,0MA
1,CANETA ESFEROGRÁFICA,CX C 50 UND AZUL
1,CANETA ESFEROGRÁFICA,CAIXA  COM 8
1,CANETA ESFEROGRÁFICA,JOGO C/ 12 CORES
1,CANETA ESFEROGRÁFICA,CANETA ESF BIC CRIST
1,CANETA ESFEROGRÁFICA,PCT 12 UN
1,CANETA ESFEROGRÁFICA,CX/50 UND
