UF,Município,Situação
BA,COTEGIPE,Em Cadastro
SP,COTIA,Aprovado
RS,COTIPORA,Não Cadastrado
MT,COTRIGUACU,Não Cadastrado
TO,COUTO DE MAGALHAES,Não Cadastrado
MG,COUTO DE MAGALHAES DE MINAS,Aprovado
RS,COXILHA,Não Cadastrado
MS,COXIM,Aprovado
PB,COXIXOLA,Aprovado
AL,CRAIBAS,Aprovado
CE,CRATEUS,Aprovado
CE,CRATO,Aprovado
SP,CRAVINHOS,Aprovado
BA,CRAVOLANDIA,Aprovado
SC,CRICIUMA,Aprovado
MG,CRISOLITA,Aprovado
BA,CRISOPOLIS,Aprovado
RS,CRISSIUMAL,Aprovado
MG,CRISTAIS,Não Cadastrado
SP,CRISTAIS PAULISTA,Aprovado
RS,CRISTAL,Aprovado
RS,CRISTAL DO SUL,Não Cadastrado
TO,CRISTALANDIA,Aprovado
PI,CRISTALANDIA DO PIAUI,Em Cadastro
MG,CRISTALIA,Não Cadastrado
GO,CRISTALINA,Aprovado
MG,CRISTIANO OTONI,Aprovado
GO,CRISTIANOPOLIS,Não Cadastrado
MG,CRISTINA,Aprovado
SE,CRISTINAPOLIS,Aprovado
PI,CRISTINO CASTRO,Aprovado
BA,CRISTOPOLIS,Aprovado
GO,CRIXAS,Aprovado
TO,CRIXAS DO TOCANTINS,Aprovado
CE,CROATA,Aprovado
GO,CROMINIA,Aprovado
MG,CRUCILANDIA,Aprovado
CE,CRUZ,Aprovado
RS,CRUZ ALTA,Aprovado
BA,CRUZ DAS ALMAS,Aprovado
PB,CRUZ DO ESPIRITO SANTO,Aprovado
PR,CRUZ MACHADO,Aprovado
SP,CRUZALIA,Aprovado
RS,CRUZALTENSE,Não Cadastrado
SP,CRUZEIRO,Aprovado
MG,CRUZEIRO DA FORTALEZA,Aprovado
PR,CRUZEIRO DO IGUACU,Aprovado
PR,CRUZEIRO DO OESTE,Aprovado
PR,CRUZEIRO DO SUL,Aprovado
AC,CRUZEIRO DO SUL,Aprovado
RS,CRUZEIRO DO SUL,Aprovado
RN,CRUZETA,Aprovado
MG,CRUZILIA,Rejeitado
PR,CRUZMALTINA,Não Cadastrado
SP,CUBATAO,Aprovado
PB,CUBATI,Aprovado
MT,CUIABA,Aprovado
PB,CUITE,Aprovado
PB,CUITE DE MAMANGUAPE,Aprovado
PB,CUITEGI,Aprovado
RO,CUJUBIM,Não Cadastrado
GO,CUMARI,Não Cadastrado
PE,CUMARU,Aprovado
PA,CUMARU DO NORTE,Não Cadastrado
SE,CUMBE,Não Cadastrado
SP,CUNHA,Aprovado
SC,CUNHA PORA,Aprovado
SC,CUNHATAI,Aprovado
MG,CUPARAQUE,Não Cadastrado
PE,CUPIRA,Aprovado
BA,CURACA,Aprovado
PI,CURIMATA,Aprovado
PA,CURIONOPOLIS,Aprovado
PR,CURITIBA,Aprovado
SC,CURITIBANOS,Aprovado
PR,CURIUVA,Aprovado
PI,CURRAIS,Aprovado
RN,CURRAIS NOVOS,Aprovado
PB,CURRAL DE CIMA,Não Cadastrado
MG,CURRAL DE DENTRO,Não Cadastrado
PI,CURRAL NOVO DO PIAUI,Aprovado
PB,CURRAL VELHO,Não Cadastrado
PA,CURRALINHO,Aprovado
PI,CURRALINHOS,Aprovado
PA,CURUA,Aprovado
PA,CURUCA,Aprovado
MA,CURURUPU,Aprovado
MT,CURVELANDIA,Não Cadastrado
MG,CURVELO,Aprovado
PE,CUSTODIA,Aprovado
AP,CUTIAS,Aprovado
GO,DAMIANOPOLIS,Não Cadastrado
PB,DAMIAO,Aprovado
GO,DAMOLANDIA,Não Cadastrado
TO,DARCINOPOLIS,Aprovado
BA,DARIO MEIRA,Aprovado
MG,DATAS,Não Cadastrado
RS,DAVID CANABARRO,Aprovado
MA,DAVINOPOLIS,Aprovado
GO,DAVINOPOLIS,Aprovado
MG,DELFIM MOREIRA,Aprovado
MG,DELFINOPOLIS,Aprovado
AL,DELMIRO GOUVEIA,Aprovado
MG,DELTA,Aprovado
PI,DEMERVAL LOBAO,Aprovado
MT,DENISE,Aprovado
MS,DEODAPOLIS,Aprovado
CE,DEPUTADO IRAPUAN PINHEIRO,Aprovado
RS,DERRUBADAS,Aprovado
SP,DESCALVADO,Aprovado
SC,DESCANSO,Aprovado
MG,DESCOBERTO,Não Cadastrado
PB,DESTERRO,Aprovado
MG,DESTERRO DE ENTRE RIOS,Não Cadastrado
MG,DESTERRO DO MELO,Aprovado
RS,DEZESSEIS DE NOVEMBRO,Aprovado
SP,DIADEMA,Aprovado
PB,DIAMANTE,Aprovado
PR,DIAMANTE D'OESTE,Aprovado
PR,DIAMANTE DO NORTE,Não Cadastrado
PR,DIAMANTE DO SUL,Não Cadastrado
MG,DIAMANTINA,Aprovado
MT,DIAMANTINO,Aprovado
TO,DIANOPOLIS,Aprovado
BA,DIAS D'AVILA,Aprovado
RS,DILERMANDO DE AGUIAR,Não Cadastrado
MG,DIOGO DE VASCONCELOS,Aprovado
MG,DIONISIO,Aprovado
SC,DIONISIO CERQUEIRA,Aprovado
GO,DIORAMA,Não Cadastrado
SP,DIRCE REIS,Não Cadastrado
PI,DIRCEU ARCOVERDE,Aprovado
DF,DISTRITO FEDERAL,Aprovado
SE,DIVINA PASTORA,Aprovado
MG,DIVINESIA,Em Cadastro
MG,DIVINO,Aprovado
MG,DIVINO DAS LARANJEIRAS,Não Cadastrado
ES,DIVINO DE SAO LOURENCO,Aprovado
SP,DIVINOLANDIA,Não Cadastrado
MG,DIVINOLANDIA DE MINAS,Aprovado
MG,DIVINOPOLIS,Aprovado
GO,DIVINOPOLIS DE GOIAS,Não Cadastrado
TO,DIVINOPOLIS DO TOCANTINS,Não Cadastrado
MG,DIVISA ALEGRE,Aprovado
MG,DIVISA NOVA,Aprovado
MG,DIVISOPOLIS,Aprovado
SP,DOBRADA,Aprovado
SP,DOIS CORREGOS,Aprovado
RS,DOIS IRMAOS,Aprovado
RS,DOIS IRMAOS DAS MISSOES,Aprovado
MS,DOIS IRMAOS DO BURITI,Não Cadastrado
TO,DOIS IRMAOS DO TOCANTINS,Aprovado
RS,DOIS LAJEADOS,Em Cadastro
AL,DOIS RIACHOS,Aprovado
PR,DOIS VIZINHOS,Aprovado
SP,DOLCINOPOLIS,Não Cadastrado
MT,DOM AQUINO,Rejeitado
BA,DOM BASILIO,Aprovado
MG,DOM BOSCO,Aprovado
MG,DOM CAVATI,Não Cadastrado
PA,DOM ELISEU,Aprovado
PI,DOM EXPEDITO LOPES,Aprovado
RS,DOM FELICIANO,Aprovado
PI,DOM INOCENCIO,Aprovado
MG,DOM JOAQUIM,Não Cadastrado
BA,DOM MACEDO COSTA,Aprovado
RS,DOM PEDRITO,Aprovado
MA,DOM PEDRO,Aprovado
RS,DOM PEDRO DE ALCANTARA,Não Cadastrado
MG,DOM SILVERIO,Não Cadastrado
MG,DOM VICOSO,Não Cadastrado
ES,DOMINGOS MARTINS,Aprovado
PI,DOMINGOS MOURAO,Aprovado
SC,DONA EMMA,Aprovado
MG,DONA EUSEBIA,Aprovado
RS,DONA FRANCISCA,Não Cadastrado
PB,DONA INES,Aprovado
MG,DORES DE CAMPOS,Aprovado
MG,DORES DE GUANHAES,Não Cadastrado
MG,DORES DO INDAIA,Aprovado
ES,DORES DO RIO PRETO,Aprovado
MG,DORES DO TURVO,Não Cadastrado
MG,DORESOPOLIS,Não Cadastrado
PE,DORMENTES,Aprovado
MS,DOURADINA,Em Cadastro
PR,DOURADINA,Em Cadastro
SP,DOURADO,Aprovado
MG,DOURADOQUARA,Não Cadastrado
MS,DOURADOS,Aprovado
PR,DOUTOR CAMARGO,Não Cadastrado
RS,DOUTOR MAURICIO CARDOSO,Em Cadastro
SC,DOUTOR PEDRINHO,Aprovado
RS,DOUTOR RICARDO,Não Cadastrado
RN,DOUTOR SEVERIANO,Aprovado
PR,DOUTOR ULYSSES,Não Cadastrado
GO,DOVERLANDIA,Aprovado
SP,DRACENA,Aprovado
SP,DUARTINA,Aprovado
RJ,DUAS BARRAS,Aprovado
PB,DUAS ESTRADAS,Não Cadastrado
TO,DUERE,Aprovado
SP,DUMONT,Aprovado
MA,DUQUE BACELAR,Aprovado
RJ,DUQUE DE CAXIAS,Aprovado
MG,DURANDE,Não Cadastrado
SP,ECHAPORA,Aprovado
ES,ECOPORANGA,Aprovado
GO,EDEALINA,Aprovado
GO,EDEIA,Não Cadastrado
AM,EIRUNEPE,Em Cadastro
MS,ELDORADO,Aprovado
SP,ELDORADO,Aprovado
RS,ELDORADO DO SUL,Aprovado
PA,ELDORADO DOS CARAJAS,Não Cadastrado
PI,ELESBAO VELOSO,Aprovado
SP,ELIAS FAUSTO,Aprovado
PI,ELISEU MARTINS,Aprovado
SP,ELISIARIO,Não Cadastrado
BA,ELISIO MEDRADO,Aprovado
MG,ELOI MENDES,Aprovado
PB,EMAS,Aprovado
SP,EMBAUBA,Não Cadastrado
SP,EMBU,Aprovado
SP,EMBU-GUACU,Aprovado
SP,EMILIANOPOLIS,Aprovado
RS,ENCANTADO,Aprovado
RN,ENCANTO,Aprovado
BA,ENCRUZILHADA,Aprovado
RS,ENCRUZILHADA DO SUL,Aprovado
PR,ENEAS MARQUES,Não Cadastrado
PR,ENGENHEIRO BELTRAO,Não Cadastrado
MG,ENGENHEIRO CALDAS,Não Cadastrado
SP,ENGENHEIRO COELHO,Aprovado
MG,ENGENHEIRO NAVARRO,Aprovado
RJ,ENGENHEIRO PAULO DE FRONTIN,Aprovado
RS,ENGENHO VELHO,Em Complementação
MG,ENTRE FOLHAS,Não Cadastrado
BA,ENTRE RIOS,Aprovado
SC,ENTRE RIOS,Aprovado
MG,ENTRE RIOS DE MINAS,Aprovado
PR,ENTRE RIOS DO OESTE,Aprovado
RS,ENTRE RIOS DO SUL,Aprovado
RS,ENTRE-IJUIS,Aprovado
AM,ENVIRA,Aprovado
AC,EPITACIOLANDIA,Aprovado
RN,EQUADOR,Aprovado
RS,EREBANGO,Não Cadastrado
RS,ERECHIM,Aprovado
CE,ERERE,Aprovado
BA,ERICO CARDOSO,Não Cadastrado
SC,ERMO,Aprovado
RS,ERNESTINA,Aprovado
RS,ERVAL GRANDE,Em Cadastro
RS,ERVAL SECO,Aprovado
SC,ERVAL VELHO,Aprovado
MG,ERVALIA,Aprovado
PE,ESCADA,Aprovado
RS,ESMERALDA,Aprovado
MG,ESMERALDAS,Aprovado
MG,ESPERA FELIZ,Aprovado
PB,ESPERANCA,Aprovado
RS,ESPERANCA DO SUL,Não Cadastrado
PR,ESPERANCA NOVA,Aprovado
TO,ESPERANTINA,Rejeitado
PI,ESPERANTINA,Aprovado
MA,ESPERANTINOPOLIS,Aprovado
PR,ESPIGAO ALTO DO IGUACU,Não Cadastrado
RO,ESPIGAO D'OESTE,Em Cadastro
MG,ESPINOSA,Aprovado
RN,ESPIRITO SANTO,Aprovado
MG,ESPIRITO SANTO DO DOURADO,Aprovado
SP,ESPIRITO SANTO DO PINHAL,Aprovado
SP,ESPIRITO SANTO DO TURVO,Aprovado
BA,ESPLANADA,Aprovado
RS,ESPUMOSO,Aprovado
RS,ESTACAO,Aprovado
SE,ESTANCIA,Aprovado
RS,ESTANCIA VELHA,Aprovado
RS,ESTEIO,Aprovado
MG,ESTIVA,Aprovado
SP,ESTIVA GERBI,Não Cadastrado
MA,ESTREITO,Não Cadastrado
RS,ESTRELA,Aprovado
SP,ESTRELA D'OESTE,Aprovado
MG,ESTRELA DALVA,Aprovado
AL,ESTRELA DE ALAGOAS,Não Cadastrado
MG,ESTRELA DO INDAIA,Aprovado
GO,ESTRELA DO NORTE,Não Cadastrado
SP,ESTRELA DO NORTE,Não Cadastrado
MG,ESTRELA DO SUL,Aprovado
RS,ESTRELA VELHA,Aprovado
BA,EUCLIDES DA CUNHA,Aprovado
SP,EUCLIDES DA CUNHA PAULISTA,Não Cadastrado
RS,EUGENIO DE CASTRO,Aprovado
MG,EUGENOPOLIS,Aprovado
BA,EUNAPOLIS,Aprovado
CE,EUSEBIO,Aprovado
MG,EWBANK DA CAMARA,Não Cadastrado
MG,EXTREMA,Aprovado
RN,EXTREMOZ,Aprovado
PE,EXU,Aprovado
PB,FAGUNDES,Aprovado
RS,FAGUNDES VARELA,Não Cadastrado
GO,FAINA,Não Cadastrado
MG,FAMA,Aprovado
MG,FARIA LEMOS,Não Cadastrado
CE,FARIAS BRITO,Aprovado
PA,FARO,Aprovado
PR,FAROL,Não Cadastrado
RS,FARROUPILHA,Aprovado
SP,FARTURA,Em Cadastro
PI,FARTURA DO PIAUI,Aprovado
BA,FATIMA,Aprovado
TO,FATIMA,Aprovado
MS,FATIMA DO SUL,Aprovado
PR,FAXINAL,Aprovado
RS,FAXINAL DO SOTURNO,Aprovado
SC,FAXINAL DOS GUEDES,Aprovado
RS,FAXINALZINHO,Aprovado
GO,FAZENDA NOVA,Não Cadastrado
PR,FAZENDA RIO GRANDE,Aprovado
RS,FAZENDA VILANOVA,Aprovado
AC,FEIJO,Aprovado
BA,FEIRA DA MATA,Não Cadastrado
BA,FEIRA DE SANTANA,Aprovado
AL,FEIRA GRANDE,Aprovado
SE,FEIRA NOVA,Aprovado
PE,FEIRA NOVA,Aprovado
MA,FEIRA NOVA DO MARANHAO,Aprovado
MG,FELICIO DOS SANTOS,Aprovado
RN,FELIPE GUERRA,Aprovado
MG,FELISBURGO,Rejeitado
MG,FELIXLANDIA,Aprovado
RS,FELIZ,Aprovado
AL,FELIZ DESERTO,Aprovado
MT,FELIZ NATAL,Não Cadastrado
PR,FENIX,Não Cadastrado
PR,FERNANDES PINHEIRO,Aprovado
MG,FERNANDES TOURINHO,Não Cadastrado
MA,FERNANDO FALCAO,Aprovado
RN,FERNANDO PEDROZA,Aprovado
SP,FERNANDO PRESTES,Aprovado
SP,FERNANDOPOLIS,Aprovado
SP,FERNAO,Aprovado
SP,FERRAZ DE VASCONCELOS,Aprovado
AP,FERREIRA GOMES,Aprovado
PE,FERREIROS,Aprovado
MG,FERROS,Não Cadastrado
MG,FERVEDOURO,Não Cadastrado
PR,FIGUEIRA,Não Cadastrado
MS,FIGUEIRAO,Não Cadastrado
TO,FIGUEIROPOLIS,Não Cadastrado
MT,FIGUEIROPOLIS D'OESTE,Não Cadastrado
TO,FILADELFIA,Aprovado
BA,FILADELFIA,Aprovado
BA,FIRMINO ALVES,Aprovado
GO,FIRMINOPOLIS,Aprovado
AL,FLEXEIRAS,Aprovado
PR,FLOR DA SERRA DO SUL,Não Cadastrado
SC,FLOR DO SERTAO,Aprovado
SP,FLORA RICA,Não Cadastrado
PR,FLORAI,Não Cadastrado
RN,FLORANIA,Aprovado
SP,FLOREAL,Aprovado
PE,FLORES,Aprovado
RS,FLORES DA CUNHA,Aprovado
GO,FLORES DE GOIAS,Aprovado
PI,FLORES DO PIAUI,Não Cadastrado
PE,FLORESTA,Aprovado
PR,FLORESTA,Aprovado
BA,FLORESTA AZUL,Aprovado
PA,FLORESTA DO ARAGUAIA,Aprovado
PI,FLORESTA DO PIAUI,Não Cadastrado
MG,FLORESTAL,Aprovado
PR,FLORESTOPOLIS,Em Cadastro
PI,FLORIANO,Aprovado
RS,FLORIANO PEIXOTO,Não Cadastrado
SC,FLORIANOPOLIS,Aprovado
PR,FLORIDA,Aprovado
SP,FLORIDA PAULISTA,Aprovado
SP,FLORINIA,Aprovado
AM,FONTE BOA,Não Cadastrado
RS,FONTOURA XAVIER,Aprovado
MG,FORMIGA,Aprovado
RS,FORMIGUEIRO,Aprovado
GO,FORMOSA,Aprovado
MA,FORMOSA DA SERRA NEGRA,Aprovado
PR,FORMOSA DO OESTE,Aprovado
BA,FORMOSA DO RIO PRETO,Aprovado
SC,FORMOSA DO SUL,Não Cadastrado
MG,FORMOSO,Não Cadastrado
GO,FORMOSO,Aprovado
TO,FORMOSO DO ARAGUAIA,Não Cadastrado
RS,FORQUETINHA,Não Cadastrado
CE,FORQUILHA,Aprovado
SC,FORQUILHINHA,Aprovado
CE,FORTALEZA,Aprovado
MG,FORTALEZA DE MINAS,Aprovado
TO,FORTALEZA DO TABOCAO,Aprovado
MA,FORTALEZA DOS NOGUEIRAS,Aprovado
RS,FORTALEZA DOS VALOS,Aprovado
CE,FORTIM,Aprovado
MA,FORTUNA,Não Cadastrado
MG,FORTUNA DE MINAS,Aprovado
PR,FOZ DO IGUACU,Aprovado
PR,FOZ DO JORDAO,Aprovado
SC,FRAIBURGO,Aprovado
SP,FRANCA,Aprovado
PI,FRANCINOPOLIS,Aprovado
PR,FRANCISCO ALVES,Aprovado
PI,FRANCISCO AYRES,Aprovado
MG,FRANCISCO BADARO,Aprovado
PR,FRANCISCO BELTRAO,Aprovado
RN,FRANCISCO DANTAS,Aprovado
MG,FRANCISCO DUMONT,Aprovado
PI,FRANCISCO MACEDO,Aprovado
SP,FRANCISCO MORATO,Aprovado
MG,FRANCISCO SA,Em Análise
PI,FRANCISCO SANTOS,Aprovado
MG,FRANCISCOPOLIS,Aprovado
SP,FRANCO DA ROCHA,Aprovado
CE,FRECHEIRINHA,Aprovado
RS,FREDERICO WESTPHALEN,Aprovado
MG,FREI GASPAR,Aprovado
MG,FREI INOCENCIO,Não Cadastrado
MG,FREI LAGONEGRO,Não Cadastrado
PB,FREI MARTINHO,Aprovado
PE,FREI MIGUELINHO,Aprovado
SE,FREI PAULO,Aprovado
SC,FREI ROGERIO,Não Cadastrado
MG,FRONTEIRA,Aprovado
MG,FRONTEIRA DOS VALES,Aprovado
PI,FRONTEIRAS,Não Cadastrado
MG,FRUTA DE LEITE,Não Cadastrado
MG,FRUTAL,Aprovado
RN,FRUTUOSO GOMES,Aprovado
ES,FUNDAO,Aprovado
MG,FUNILANDIA,Não Cadastrado
SP,GABRIEL MONTEIRO,Não Cadastrado
PB,GADO BRAVO,Aprovado
SP,GALIA,Aprovado
MG,GALILEIA,Não Cadastrado
RN,GALINHOS,Aprovado
SC,GALVAO,Aprovado
PE,GAMELEIRA,Aprovado
GO,GAMELEIRA DE GOIAS,Aprovado
MG,GAMELEIRAS,Aprovado
BA,GANDU,Aprovado
PE,GARANHUNS,Aprovado
SE,GARARU,Aprovado
SP,GARCA,Aprovado
RS,GARIBALDI,Aprovado
SC,GAROPABA,Aprovado
PA,GARRAFAO DO NORTE,Não Cadastrado
RS,GARRUCHOS,Aprovado
SC,GARUVA,Aprovado
SC,GASPAR,Aprovado
SP,GASTAO VIDIGAL,Aprovado
MT,GAUCHA DO NORTE,Não Cadastrado
RS,GAURAMA,Aprovado
BA,GAVIAO,Não Cadastrado
SP,GAVIAO PEIXOTO,Aprovado
PI,GEMINIANO,Aprovado
RS,GENERAL CAMARA,Aprovado
PR,GENERAL CARNEIRO,Não Cadastrado
MT,GENERAL CARNEIRO,Aprovado
SE,GENERAL MAYNARD,Aprovado
SP,GENERAL SALGADO,Aprovado
CE,GENERAL SAMPAIO,Aprovado
RS,GENTIL,Aprovado
BA,GENTIO DO OURO,Aprovado
SP,GETULINA,Aprovado
RS,GETULIO VARGAS,Aprovado
PI,GILBUES,Aprovado
AL,GIRAU DO PONCIANO,Aprovado
RS,GIRUA,Aprovado
MG,GLAUCILANDIA,Em Análise
SP,GLICERIO,Em Cadastro
BA,GLORIA,Aprovado
MT,GLORIA D'OESTE,Aprovado
MS,GLORIA DE DOURADOS,Aprovado
PE,GLORIA DO GOITA,Aprovado
RS,GLORINHA,Aprovado
MA,GODOFREDO VIANA,Não Cadastrado
PR,GODOY MOREIRA,Aprovado
MG,GOIABEIRA,Não Cadastrado
MG,GOIANA,Aprovado
PE,GOIANA,Aprovado
GO,GOIANAPOLIS,Não Cadastrado
GO,GOIANDIRA,Não Cadastrado
GO,GOIANESIA,Aprovado
PA,GOIANESIA DO PARA,Aprovado
GO,GOIANIA,Aprovado
RN,GOIANINHA,Aprovado
GO,GOIANIRA,Aprovado
TO,GOIANORTE,Aprovado
GO,GOIAS,Aprovado
TO,GOIATINS,Aprovado
GO,GOIATUBA,Aprovado
PR,GOIOERE,Aprovado
PR,GOIOXIM,Não Cadastrado
MG,GONCALVES,Aprovado
MA,GONCALVES DIAS,Aprovado
BA,GONGOGI,Aprovado
MG,GONZAGA,Não Cadastrado
MG,GOUVEIA,Aprovado
GO,GOUVELANDIA,Não Cadastrado
MA,GOVERNADOR ARCHER,Não Cadastrado
SC,GOVERNADOR CELSO RAMOS,Não Cadastrado
RN,GOVERNADOR DIX-SEPT ROSADO,Aprovado
MA,GOVERNADOR EDISON LOBAO,Aprovado
MA,GOVERNADOR EUGENIO BARROS,Não Cadastrado
RO,GOVERNADOR JORGE TEIXEIRA,Aprovado
ES,GOVERNADOR LINDENBERG,Não Cadastrado
MA,GOVERNADOR LUIZ ROCHA,Não Cadastrado
BA,GOVERNADOR MANGABEIRA,Aprovado
MA,GOVERNADOR NEWTON BELLO,Aprovado
MA,GOVERNADOR NUNES FREIRE,Não Cadastrado
MG,GOVERNADOR VALADARES,Aprovado
CE,GRACA,Aprovado
MA,GRACA ARANHA,Não Cadastrado
SE,GRACHO CARDOSO,Não Cadastrado
MA,GRAJAU,Aprovado
RS,GRAMADO,Aprovado
RS,GRAMADO DOS LOUREIROS,Aprovado
RS,GRAMADO XAVIER,Não Cadastrado
PR,GRANDES RIOS,Não Cadastrado
PE,GRANITO,Aprovado
CE,GRANJA,Aprovado
CE,GRANJEIRO,Aprovado
MG,GRAO MOGOL,Aprovado
SC,GRAO PARA,Não Cadastrado
PE,GRAVATA,Aprovado
RS,GRAVATAI,Aprovado
SC,GRAVATAL,Aprovado
CE,GROAIRAS,Aprovado
RN,GROSSOS,Aprovado
MG,GRUPIARA,Não Cadastrado
RS,GUABIJU,Aprovado
SC,GUABIRUBA,Aprovado
ES,GUACUI,Aprovado
PI,GUADALUPE,Aprovado
RS,GUAIBA,Aprovado
SP,GUAICARA,Aprovado
SP,GUAIMBE,Aprovado
PR,GUAIRA,Aprovado
SP,GUAIRA,Aprovado
PR,GUAIRACA,Não Cadastrado
CE,GUAIUBA,Aprovado
AM,GUAJARA,Não Cadastrado
RO,GUAJARA-MIRIM,Aprovado
BA,GUAJERU,Não Cadastrado
RN,GUAMARE,Aprovado
PR,GUAMIRANGA,Aprovado
BA,GUANAMBI,Aprovado
MG,GUANHAES,Aprovado
MG,GUAPE,Aprovado
SP,GUAPIACU,Aprovado
SP,GUAPIARA,Em Complementação
RJ,GUAPIMIRIM,Aprovado
PR,GUAPIRAMA,Não Cadastrado
GO,GUAPO,Não Cadastrado
RS,GUAPORE,Aprovado
PR,GUAPOREMA,Não Cadastrado
SP,GUARA,Aprovado
PB,GUARABIRA,Aprovado
SP,GUARACAI,Aprovado
PR,GUARACI,Aprovado
SP,GUARACI,Aprovado
SC,GUARACIABA,Aprovado
MG,GUARACIABA,Aprovado
CE,GUARACIABA DO NORTE,Aprovado
MG,GUARACIAMA,Não Cadastrado
TO,GUARAI,Aprovado
GO,GUARAITA,Aprovado
CE,GUARAMIRANGA,Aprovado
SC,GUARAMIRIM,Aprovado
MG,GUARANESIA,Aprovado
MG,GUARANI,Aprovado
SP,GUARANI D'OESTE,Não Cadastrado
RS,GUARANI DAS MISSOES,Aprovado
GO,GUARANI DE GOIAS,Não Cadastrado
PR,GUARANIACU,Aprovado
SP,GUARANTA,Aprovado
MT,GUARANTA DO NORTE,Aprovado
ES,GUARAPARI,Aprovado
PR,GUARAPUAVA,Aprovado
PR,GUARAQUECABA,Aprovado
MG,GUARARA,Aprovado
SP,GUARARAPES,Aprovado
SP,GUARAREMA,Aprovado
BA,GUARATINGA,Aprovado
SP,GUARATINGUETA,Aprovado
PR,GUARATUBA,Aprovado
MG,GUARDA-MOR,Não Cadastrado
SP,GUAREI,Não Cadastrado
SP,GUARIBA,Aprovado
PI,GUARIBAS,Aprovado
GO,GUARINOS,Não Cadastrado
SP,GUARUJA,Aprovado
SC,GUARUJA DO SUL,Aprovado
SP,GUARULHOS,Aprovado
SC,GUATAMBU,Aprovado
SP,GUATAPARA,Aprovado
MG,GUAXUPE,Aprovado
MS,GUIA LOPES DA LAGUNA,Não Cadastrado
MG,GUIDOVAL,Aprovado
MA,GUIMARAES,Aprovado
MG,GUIMARANIA,Aprovado
MT,GUIRATINGA,Aprovado
MG,GUIRICEMA,Não Cadastrado
MG,GURINHATA,Aprovado
PB,GURINHEM,Aprovado
PB,GURJAO,Aprovado
PA,GURUPA,Aprovado
TO,GURUPI,Aprovado
SP,GUZOLANDIA,Não Cadastrado
RS,HARMONIA,Aprovado
GO,HEITORAI,Não Cadastrado
MG,HELIODORA,Não Cadastrado
BA,HELIOPOLIS,Aprovado
SP,HERCULANDIA,Aprovado
RS,HERVAL,Aprovado
SC,HERVAL D'OESTE,Aprovado
RS,HERVEIRAS,Não Cadastrado
CE,HIDROLANDIA,Aprovado
GO,HIDROLANDIA,Aprovado
GO,HIDROLINA,Não Cadastrado
SP,HOLAMBRA,Aprovado
PR,HONORIO SERPA,Em Cadastro
CE,HORIZONTE,Aprovado
RS,HORIZONTINA,Aprovado
SP,HORTOLANDIA,Aprovado
PI,HUGO NAPOLEAO,Não Cadastrado
RS,HULHA NEGRA,Aprovado
RS,HUMAITA,Aprovado
AM,HUMAITA,Aprovado
MA,HUMBERTO DE CAMPOS,Aprovado
SP,IACANGA,Aprovado
GO,IACIARA,Aprovado
SP,IACRI,Não Cadastrado
BA,IACU,Não Cadastrado
MG,IAPU,Aprovado
SP,IARAS,Não Cadastrado
PE,IATI,Aprovado
PR,IBAITI,Aprovado
RS,IBARAMA,Aprovado
CE,IBARETAMA,Aprovado
SP,IBATE,Aprovado
AL,IBATEGUARA,Aprovado
ES,IBATIBA,Aprovado
PR,IBEMA,Aprovado
MG,IBERTIOGA,Aprovado
MG,IBIA,Não Cadastrado
RS,IBIACA,Não Cadastrado
MG,IBIAI,Aprovado
SC,IBIAM,Em Complementação
CE,IBIAPINA,Aprovado
PB,IBIARA,Aprovado
BA,IBIASSUCE,Aprovado
BA,IBICARAI,Aprovado
SC,IBICARE,Aprovado
BA,IBICOARA,Aprovado
BA,IBICUI,Aprovado
CE,IBICUITINGA,Aprovado
PE,IBIMIRIM,Aprovado
BA,IBIPEBA,Aprovado
BA,IBIPITANGA,Não Cadastrado
PR,IBIPORA,Aprovado
BA,IBIQUERA,Aprovado
SP,IBIRA,Aprovado
MG,IBIRACATU,Aprovado
MG,IBIRACI,Aprovado
ES,IBIRACU,Aprovado
RS,IBIRAIARAS,Aprovado
PE,IBIRAJUBA,Aprovado
SC,IBIRAMA,Aprovado
BA,IBIRAPITANGA,Aprovado
BA,IBIRAPUA,Não Cadastrado
RS,IBIRAPUITA,Aprovado
SP,IBIRAREMA,Aprovado
BA,IBIRATAIA,Aprovado
MG,IBIRITE,Aprovado
RS,IBIRUBA,Aprovado
BA,IBITIARA,Não Cadastrado
SP,IBITINGA,Aprovado
ES,IBITIRAMA,Não Cadastrado
BA,IBITITA,Aprovado
MG,IBITIURA DE MINAS,Aprovado
MG,IBITURUNA,Aprovado
SP,IBIUNA,Aprovado
BA,IBOTIRAMA,Aprovado
CE,ICAPUI,Aprovado
SC,ICARA,Aprovado
MG,ICARAI DE MINAS,Aprovado
PR,ICARAIMA,Aprovado
MA,ICATU,Não Cadastrado
SP,ICEM,Não Cadastrado
BA,ICHU,Aprovado
CE,ICO,Aprovado
ES,ICONHA,Aprovado
RN,IELMO MARINHO,Aprovado
SP,IEPE,Não Cadastrado
AL,IGACI,Aprovado
BA,IGAPORA,Aprovado
SP,IGARACU DO TIETE,Aprovado
PB,IGARACY,Aprovado
SP,IGARAPAVA,Não Cadastrado
MG,IGARAPE,Aprovado
MA,IGARAPE DO MEIO,Aprovado
MA,IGARAPE GRANDE,Aprovado
PA,IGARAPE-ACU,Aprovado
PA,IGARAPE-MIRI,Aprovado
