UF,Município,Situação
RS,ANDRE DA ROCHA,Aprovado
MG,ANDRELANDIA,Aprovado
SP,ANGATUBA,Em Análise
MG,ANGELANDIA,Aprovado
MS,ANGELICA,Aprovado
PE,ANGELIM,Aprovado
SC,ANGELINA,Aprovado
BA,ANGICAL,Aprovado
PI,ANGICAL DO PIAUI,Aprovado
TO,ANGICO,Não Cadastrado
RN,ANGICOS,Em Análise
RJ,ANGRA DOS REIS,Aprovado
BA,ANGUERA,Aprovado
PR,ANGULO,Aprovado
GO,ANHANGUERA,Não Cadastrado
SP,ANHEMBI,Aprovado
SP,ANHUMAS,Aprovado
GO,ANICUNS,Aprovado
PI,ANISIO DE ABREU,Aprovado
SC,ANITA GARIBALDI,Aprovado
SC,ANITAPOLIS,Aprovado
AM,ANORI,Não Cadastrado
RS,ANTA GORDA,Aprovado
BA,ANTAS,Aprovado
PR,ANTONINA,Aprovado
CE,ANTONINA DO NORTE,Aprovado
PI,ANTONIO ALMEIDA,Em Cadastro
BA,ANTONIO CARDOSO,Aprovado
MG,ANTONIO CARLOS,Em Cadastro
SC,ANTONIO CARLOS,Aprovado
MG,ANTONIO DIAS,Aprovado
BA,ANTONIO GONCALVES,Aprovado
MS,ANTONIO JOAO,Não Cadastrado
RN,ANTONIO MARTINS,Aprovado
PR,ANTONIO OLINTO,Aprovado
RS,ANTONIO PRADO,Aprovado
MG,ANTONIO PRADO DE MINAS,Não Cadastrado
SP,APARECIDA,Aprovado
PB,APARECIDA,Aprovado
SP,APARECIDA D'OESTE,Aprovado
GO,APARECIDA DE GOIANIA,Aprovado
GO,APARECIDA DO RIO DOCE,Não Cadastrado
TO,APARECIDA DO RIO NEGRO,Aprovado
MS,APARECIDA DO TABOADO,Aprovado
RJ,APERIBE,Aprovado
ES,APIACA,Aprovado
MT,APIACAS,Aprovado
SP,APIAI,Aprovado
MA,APICUM-ACU,Aprovado
SC,APIUNA,Aprovado
RN,APODI,Aprovado
BA,APORA,Aprovado
GO,APORE,Em Cadastro
BA,APUAREMA,Aprovado
PR,APUCARANA,Aprovado
AM,APUI,Não Cadastrado
CE,APUIARES,Aprovado
SE,AQUIDABA,Aprovado
MS,AQUIDAUANA,Aprovado
CE,AQUIRAZ,Aprovado
SC,ARABUTA,Aprovado
PB,ARACAGI,Aprovado
MG,ARACAI,Não Cadastrado
SE,ARACAJU,Aprovado
SP,ARACARIGUAMA,Aprovado
BA,ARACAS,Não Cadastrado
CE,ARACATI,Aprovado
BA,ARACATU,Não Cadastrado
SP,ARACATUBA,Aprovado
BA,ARACI,Aprovado
MG,ARACITABA,Não Cadastrado
CE,ARACOIABA,Aprovado
PE,ARACOIABA,Aprovado
SP,ARACOIABA DA SERRA,Aprovado
ES,ARACRUZ,Aprovado
GO,ARACU,Não Cadastrado
MG,ARACUAI,Aprovado
GO,ARAGARCAS,Aprovado
GO,ARAGOIANIA,Aprovado
TO,ARAGOMINAS,Aprovado
TO,ARAGUACEMA,Aprovado
TO,ARAGUACU,Não Cadastrado
MT,ARAGUAIANA,Em Cadastro
TO,ARAGUAINA,Aprovado
MT,ARAGUAINHA,Não Cadastrado
TO,ARAGUANA,Não Cadastrado
MA,ARAGUANA,Não Cadastrado
GO,ARAGUAPAZ,Não Cadastrado
MG,ARAGUARI,Aprovado
TO,ARAGUATINS,Aprovado
MA,ARAIOSES,Aprovado
MS,ARAL MOREIRA,Aprovado
BA,ARAMARI,Aprovado
RS,ARAMBARE,Aprovado
MA,ARAME,Aprovado
SP,ARAMINA,Aprovado
SP,ARANDU,Aprovado
MG,ARANTINA,Aprovado
SP,ARAPEI,Não Cadastrado
AL,ARAPIRACA,Aprovado
TO,ARAPOEMA,Não Cadastrado
MG,ARAPONGA,Não Cadastrado
PR,ARAPONGAS,Aprovado
MG,ARAPORA,Aprovado
PR,ARAPOTI,Aprovado
MG,ARAPUA,Em Cadastro
PR,ARAPUA,Não Cadastrado
MT,ARAPUTANGA,Aprovado
SC,ARAQUARI,Aprovado
PB,ARARA,Aprovado
SC,ARARANGUA,Aprovado
SP,ARARAQUARA,Aprovado
SP,ARARAS,Aprovado
CE,ARARENDA,Aprovado
MA,ARARI,Aprovado
RS,ARARICA,Aprovado
CE,ARARIPE,Aprovado
PE,ARARIPINA,Aprovado
RJ,ARARUAMA,Aprovado
PB,ARARUNA,Aprovado
PR,ARARUNA,Aprovado
BA,ARATACA,Aprovado
RS,ARATIBA,Em Cadastro
CE,ARATUBA,Aprovado
BA,ARATUIPE,Aprovado
SE,ARAUA,Aprovado
PR,ARAUCARIA,Aprovado
MG,ARAUJOS,Aprovado
MG,ARAXA,Aprovado
MG,ARCEBURGO,Aprovado
SP,ARCO-IRIS,Aprovado
MG,ARCOS,Aprovado
PE,ARCOVERDE,Aprovado
MG,AREADO,Aprovado
RJ,AREAL,Aprovado
SP,AREALVA,Aprovado
PB,AREIA,Aprovado
RN,AREIA BRANCA,Aprovado
SE,AREIA BRANCA,Aprovado
PB,AREIA DE BARAUNAS,Aprovado
PB,AREIAL,Aprovado
SP,AREIAS,Aprovado
SP,AREIOPOLIS,Aprovado
MT,ARENAPOLIS,Em Análise
GO,ARENOPOLIS,Não Cadastrado
RN,ARES,Aprovado
MG,ARGIRITA,Aprovado
MG,ARICANDUVA,Não Cadastrado
MG,ARINOS,Aprovado
MT,ARIPUANA,Não Cadastrado
RO,ARIQUEMES,Aprovado
SP,ARIRANHA,Não Cadastrado
PR,ARIRANHA DO IVAI,Não Cadastrado
RJ,ARMACAO DOS BUZIOS,Aprovado
SC,ARMAZEM,Aprovado
CE,ARNEIROZ,Aprovado
PI,AROAZES,Não Cadastrado
PB,AROEIRAS,Aprovado
PI,AROEIRAS DO ITAIM,Aprovado
PI,ARRAIAL,Não Cadastrado
RJ,ARRAIAL DO CABO,Aprovado
TO,ARRAIAS,Aprovado
RS,ARROIO DO MEIO,Aprovado
RS,ARROIO DO PADRE,Aprovado
RS,ARROIO DO SAL,Aprovado
RS,ARROIO DO TIGRE,Aprovado
RS,ARROIO DOS RATOS,Aprovado
RS,ARROIO GRANDE,Aprovado
SC,ARROIO TRINTA,Aprovado
SP,ARTUR NOGUEIRA,Aprovado
GO,ARUANA,Aprovado
SP,ARUJA,Aprovado
SC,ARVOREDO,Aprovado
RS,ARVOREZINHA,Aprovado
SC,ASCURRA,Aprovado
SP,ASPASIA,Não Cadastrado
PR,ASSAI,Aprovado
CE,ASSARE,Aprovado
SP,ASSIS,Aprovado
AC,ASSIS BRASIL,Aprovado
PR,ASSIS CHATEAUBRIAND,Não Cadastrado
PB,ASSUNCAO,Aprovado
PI,ASSUNCAO DO PIAUI,Aprovado
MG,ASTOLFO DUTRA,Aprovado
PR,ASTORGA,Aprovado
PR,ATALAIA,Aprovado
AL,ATALAIA,Aprovado
AM,ATALAIA DO NORTE,Em Complementação
SC,ATALANTA,Aprovado
MG,ATALEIA,Aprovado
SP,ATIBAIA,Aprovado
ES,ATILIO VIVACQUA,Aprovado
TO,AUGUSTINOPOLIS,Não Cadastrado
PA,AUGUSTO CORREA,Aprovado
MG,AUGUSTO DE LIMA,Não Cadastrado
RS,AUGUSTO PESTANA,Aprovado
RS,AUREA,Aprovado
BA,AURELINO LEAL,Aprovado
SP,AURIFLAMA,Aprovado
GO,AURILANDIA,Em Cadastro
SC,AURORA,Aprovado
CE,AURORA,Aprovado
PA,AURORA DO PARA,Não Cadastrado
TO,AURORA DO TOCANTINS,Não Cadastrado
AM,AUTAZES,Rejeitado
SP,AVAI,Aprovado
SP,AVANHANDAVA,Em Cadastro
SP,AVARE,Aprovado
PA,AVEIRO,Aprovado
PI,AVELINO LOPES,Aprovado
GO,AVELINOPOLIS,Não Cadastrado
MA,AXIXA,Aprovado
TO,AXIXA DO TOCANTINS,Aprovado
TO,BABACULANDIA,Aprovado
MA,BACABAL,Aprovado
MA,BACABEIRA,Aprovado
MA,BACURI,Aprovado
MA,BACURITUBA,Aprovado
SP,BADY BASSITT,Aprovado
MG,BAEPENDI,Aprovado
RS,BAGE,Aprovado
PA,BAGRE,Aprovado
PB,BAIA DA TRAICAO,Aprovado
RN,BAIA FORMOSA,Aprovado
