registros,I_Cmp,I_Und
3,ARROZ,PACOTE COM 5KG
3,ARROZ IN - NATURA,PCT C/ 5 KG
3,ARROZ,PACOTE COM 1 KG
3,ARROZ,FARDO DE 30KG
3,ARROZ,PCTS 5 KGS
3,ARROZ IN - NATURA,PT
3,ARROZ,5 KG
3,ARROZ IN - NATURA,FARDO 30KG
3,ARROZ,FARDO C/10X1
3,ARROZ,PACOTE COM 05 KG
3,ARROZ,FARDO 30 KGS
3,ARROZ,EMB.C/5 KG
3,ARROZ,KHG
3,ARROZ IN - NATURA,PCT 1 KG
3,ARROZ IN - NATURA,SACA COM 40 KG
3,ARROZ,"PACOTE 500,00 G"
3,ARROZ,EMBALAGEM DE 500 G
3,ARROZ,PCTE.
3,ARROZ IN - NATURA,PCT.
3,CASCA ARROZ,M³
3,ARROZ IN - NATURA,EMBALAGEM DE 5 KG
3,ARROZ,FARDO COM 06 PACOTES
3,ARROZ,SACO 5KG
3,ARROZ,QUILOGRAMAS
3,CASCA ARROZ,SACA
3,ARROZ,PCT C/ 5 KG
3,ARROZ,PACOTE C/ 05 KG
3,ARROZ IN - NATURA,EMBALAGEM 5KG
3,ARROZ IN - NATURA,194033
3,ARROZ,1KG
3,ARROZ,FARDO C/30 KG.
3,ARROZ,FARDO C/30X1KG.
2,ARROZ IN - NATURA,FARDO COM 6 PACOTES
2,ARROZ,FARDO DE 30 KG
2,ARROZ,FARDO C/30 PCT. DE U
2,ARROZ IN - NATURA,PACOTE C/ 5KG
2,ARROZ IN - NATURA,LA
2,ARROZ,PCTES
2,ARROZ,UNID.
2,ARROZ,UNIDADE 5KG
2,ARROZ,FARDO 30X1KG
2,ARROZ,EMB 05 KG
2,ARROZ,EMB 5KG
2,ARROZ IN - NATURA,EMB C/ 1KG
2,ARROZ,EMBALAGEM 1 KG
2,ARROZ IN - NATURA,EMB. 5KG
2,ARROZ,EMBALAGEM DE 05 KG
2,ARROZ,PACOTE DE 1 QUILO
2,ARROZ IN - NATURA,PCT C/5 KG
2,ARROZ,SACO 1 KG
2,ARROZ,SC.
2,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),QUILOGRAMA
2,ARROZ,PACOTE.
2,ARROZ,"PACOTE 0000005,00 KG"
2,ARROZ,PCT C/ 1 KG
2,ARROZ,PD
2,ARROZ,EMBALAGEM COM 5KG
2,ARROZ,500G
2,ARROZ IN - NATURA,PACOTE C/ 05 KG
2,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,LITROS
2,ARROZ IN - NATURA,"PACOTE 00000005,00 K"
2,ARROZ IN - NATURA,KGR.
2,CASCA ARROZ,KILO
2,ARROZ IN - NATURA,QUILOGRAMAS
2,ARROZ,SAC
2,ARROZ,FARDO C/30 KG
2,ARROZ,FARDO C/30 X 1KG.
2,ARROZ,EMB.C/5KG
2,ARROZ,"*FRASCO 750,00 ML"
2,ARROZ IN - NATURA,EMB C/ 5KG
2,ARROZ IN - NATURA,FARDO DE 6X5KG
2,ARROZ IN - NATURA,FARDO COM 30X01KG
2,CASCA ARROZ,SACAS
2,ARROZ,SERVIÇO
2,ARROZ,80
2,CREME ARROZ,CAIXA
2,ARROZ,PCT 1 KG
2,ARROZ,SACOS
2,ARROZ,PCTS DE 5 KGS
