registros,I_Cmp,I_Und
33,TAMPA TUBO ABASTECIMENTO,UNIDADE
32,COMPONENTE HIDRAULICO DE ABASTECIMENTO EM VOO,UN
32,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,PEÇA
32,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,UM
32,MANUTENCAO DE SISTEMAS DE AQUECIMENTO,UND
32,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,UM
32,INJECOES DE CIMENTO (OBRAS CIVIS),METRO CÚBICO
31,REGULADOR CRESCIMENTO PLANTA,L
31,CIMENTO PORTLAND,"SACO 40,00 KG"
31,CONJUNTO AQUECIMENTO COPIADORA,UNIDADE
31,EQUIPAMENTO P/ AQUECIMENTO DE SOLUÇÕES,UNIDADE
30,CIMENTO REFRATÁRIO,UNID
30,CIMENTO PORTLAND,METRO CÚBICO
30,TUBO DE ABASTECIMENTO DE OLEO DE MOTOR DIESEL,UNIDADE
30,SUPLEMENTO CRESCIMENTO ( THAYER - MARTIN ),CX
29,ABASTECIMENTO TERMINAL AUTO-ATENDIMENTO,SERVIÇO
29,CONEXAO HIDRAULICA - CIMENTO,UND
29,CIMENTO BRANCO,UM
29,SUPLEMENTO CRESCIMENTO ( THAYER - MARTIN ),SC
29,REGULADOR CRESCIMENTO PLANTA,GALÃO
28,CIMENTO PORTLAND,SC C/ 50 KG
28,BUJÃO ÓLEO ABASTECIMENTO,UN
28,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO,UMA
27,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO,PC
27,RESISTOR PARA AQUECIMENTO,UNIDADE
26,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,PC
25,CIMENTO DE IONÔMERO DE VIDRO,"FRASCO 6,00 ML"
25,CIMENTO REFRATÁRIO,UM
25,CONTROLE DE ABASTECIMENTO DE VEICULOS,ANO
25,CIMENTO REFRATÁRIO,SACO C/ 50KG
25,SISTEMA ENERGIA SOLAR - AQUECIMENTO DE AGUA,UND
25,COMPONENTE BOMBA ABASTECIMENTO,PEÇA
25,CIMENTO ORTOPÉDICO,VIDRO
25,CONEXAO HIDRAULICA - CIMENTO,UN
25,CIMENTO BRANCO,UND
24,EQUIPO AQUECIMENTO E INFUSÃO SANGUÍNEA,UNID
24,CIMENTO IONÔMERO VIDRO,"FRASCO 15,00 G"
24,CIMENTO PORTLAND,"SACO 1000,00 KG"
24,CIMENTO PORTLAND,SACO C/ 50 KG
24,CIMENTO PORTLAND,SCS
24,CIMENTO PORTLAND,SACO COM 50 KG
24,EQUIPO AQUECIMENTO E INFUSÃO SANGUÍNEA,PC
23,CIMENTO PORTLAND,SACO.
23,BUJÃO ÓLEO ABASTECIMENTO,UND
23,CIMENTO IONÔMERO VIDRO,FRASCO
23,CIMENTO REFRATÁRIO,SACO DE 50KG
23,CONDUTOR LATERAL ARREFECIMENTO AR-VEICULO AUTOMOTIVO,UND
22,INSTALACAO E MONTAGEM DE SISTEMAS DE AQUECIMENTO,SV
22,UTENSILIO CONJUGADO COM UNIDADE DE AQUECIMENTO DE ALIMENTO,UNIDADE
22,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,PECA
22,CONTROLE DE ABASTECIMENTO DE VEICULOS,UND
21,SISTEMA AQUECIMENTO AR,UNIDADE
21,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,UNI
21,CIMENTO REFRATÁRIO,"SACO 50,00 KG"
21,CIMENTO ORTOPÉDICO,"FRASCO 50,00 ML"
21,CIMENTO ORTOPÉDICO,UNID
21,CIMENTO REFRATÁRIO,SACO COM 50 KG
20,INJECOES DE CIMENTO (OBRAS CIVIS),SERVIÇO
20,REGULADOR CRESCIMENTO PLANTA,LITROS
20,CIMENTO IONÔMERO VIDRO,CX
20,CONEXAO HIDRAULICA - CIMENTO,BARRA
20,CIMENTO IONÔMERO VIDRO,CJ
20,INJECOES DE CIMENTO (OBRAS CIVIS),M2
20,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,METRO
20,TUBO DE ABASTECIMENTO DE OLEO DE MOTOR DIESEL,UMA
20,MANUTENCAO DE SISTEMAS DE AQUECIMENTO,SERV
20,CIMENTO BRANCO,KG.
20,CONEXAO T DO TUBO DE ABASTECIMENTO DE MOTOR A GASOLINA,UNID.
19,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO,UNID
19,CIMENTO IONÔMERO VIDRO,CAIXA
19,COMPONENTE BOMBA ABASTECIMENTO,METRO
19,SUPLEMENTO CRESCIMENTO ( THAYER - MARTIN ),KG
