;UF;Município;;Situação;NOME_SIMPLIFICADO;COD_IBGE;COD_SIAFI;NOME_ENTE;NOME_SIMPLIFICADO;SIGLA_UF;NOME_UF;POP_EST_2020;CAPITAL;REGIAO;IDHM;IDHM_RENDA;IDHM_EDUCACAO;IDHM_LONGEVIDADE
1;RN;AGUA NOVA;;Aprovado;AGUA NOVA;2400406;1607;Água Nova;AGUA NOVA;RN;Rio Grande do Norte;3272;0;NE;0,616;0,776;0,572;0,527
1;PE;AGUA PRETA;;Aprovado;AGUA PRETA;2600401;2307;Água Preta;AGUA PRETA;PE;Pernambuco;37082;0;NE;0,553;0,761;0,432;0,514
1;RS;AGUA SANTA;;Aprovado;AGUA SANTA;4300059;8499;Água Santa;AGUA SANTA;RS;Rio Grande do Sul;3743;0;S;0,75;0,85;0,59;0,84
1;SP;AGUAI;;Aprovado;AGUAI;3500303;6105;Aguaí;AGUAI;SP;São Paulo;36648;0;SE;0,715;0,858;0,606;0,703
1;MG;AGUANIL;;Não Cadastrado;AGUANIL;3100807;4015;Aguanil;AGUANIL;MG;Minas Gerais;4522;0;SE;0,663;0,845;0,513;0,672
1;PE;AGUAS BELAS;;Aprovado;AGUAS BELAS;2600500;2309;Águas Belas;AGUAS BELAS;PE;Pernambuco;43686;0;NE;0,526;0,691;0,385;0,546
1;SP;AGUAS DA PRATA;;Aprovado;AGUAS DA PRATA;3500402;6107;Águas da Prata;AGUAS DA PRATA;SP;São Paulo;8221;0;SE;0,781;0,886;0,716;0,75
1;SC;AGUAS DE CHAPECO;;Não Cadastrado;AGUAS DE CHAPECO;4200507;8009;Águas de Chapecó;AGUAS DE CHAPECO;SC;Santa Catarina;6515;0;S;0,713;0,811;0,629;0,712
1;SP;AGUAS DE LINDOIA;;Aprovado;AGUAS DE LINDOIA;3500501;6109;Águas de Lindóia;AGUAS DE LINDOIA;SP;São Paulo;18808;0;SE;0,745;0,846;0,675;0,725
1;SP;AGUAS DE SANTA BARBARA;;Aprovado;AGUAS DE SANTA BARBARA;3500550;7019;Águas de Santa Bárbara;AGUAS DE SANTA BARBARA;SP;São Paulo;6109;0;SE;0,757;0,84;0,695;0,744
1;SP;AGUAS DE SAO PEDRO;;Aprovado;AGUAS DE SAO PEDRO;3500600;6111;Águas de São Pedro;AGUAS DE SAO PEDRO;SP;São Paulo;3521;0;SE;0,854;0,89;0,825;0,849
1;MG;AGUAS FORMOSAS;;Aprovado;AGUAS FORMOSAS;3100906;4017;Águas Formosas;AGUAS FORMOSAS;MG;Minas Gerais;19247;0;SE;0,645;0,811;0,531;0,624
1;SC;AGUAS FRIAS;;Aprovado;AGUAS FRIAS;4200556;5577;Águas Frias;AGUAS FRIAS;SC;Santa Catarina;2354;0;S;0,745;0,86;0,661;0,728
1;GO;AGUAS LINDAS DE GOIAS;;Aprovado;AGUAS LINDAS DE GOIAS;5200258;1052;Águas Lindas de Goiás;AGUAS LINDAS DE GOIAS;GO;Goiás;217698;0;CO;0,686;0,848;0,588;0,647
1;SC;AGUAS MORNAS;;Aprovado;AGUAS MORNAS;4200606;8011;Águas Mornas;AGUAS MORNAS;SC;Santa Catarina;6559;0;S;0,723;0,853;0,606;0,731
1;MG;AGUAS VERMELHAS;;Aprovado;AGUAS VERMELHAS;3101003;4019;Águas Vermelhas;AGUAS VERMELHAS;MG;Minas Gerais;13599;0;SE;0,601;0,808;0,458;0,586
