registros,I_Cmp,I_Und
38,CARTUCHO TONER IMPRESSORA DIGITAL XEIKON,"CAIXA 6,00 UN"
37,CARTUCHO IMPRESSÃO,TUBO
37,CARTUCHO TONER IMPRESSORA / COPIADORA XEROX,"CAIXA 6,00 UN"
36,CARTUCHO TINTA IMPRESSORA HP,UM
35,CARTUCHO TONER IMPRESSORA OCÉ,UNIDADE
35,CARTUCHO TONER IMPRESSORA/COPIADORA 3M,UNIDADE
34,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",UNITARIO
34,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",TONER
34,CARTUCHO IMPRESSÃO,KIT
34,CARTUCHO IMPRESSÃO,TB
32,CARTUCHO TONER IMPRESSORA / COPIADORA OLIVETTI,"CAIXA 4,00 UN"
32,CARTUCHO TONER IMPRESSORA HP,"PEÇA 2500,00 FL"
32,CARTUCHO IMPRESSÃO,PACOTE
32,CARTUCHO TINTA IMPRESSORA,UN
30,CARTUCHO IMPRESSÃO,UNDS.
29,CARTUCHO TONER IMPRESSORA MINOLTA,"CAIXA 2,00 UN"
29,CARTUCHO TONER IMPRESSORA / COPIADORA SHARP,"CAIXA 2,00 UN"
29,CARTUCHO TINTA IMPRESSORA LEXMARK,"CAIXA 2,00 UN"
28,CARTUCHO TONER IMPRESSORA GENICOM,UNIDADE
28,CARTUCHO TINTA IMPRESSORA HP,UNID.
28,CARTUCHO IMPRESSÃO,FR
28,CARTUCHO TONER IMPRESSORA / COPIADORA XEROX,UN
28,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",RECARGAS
27,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",UD
27,CARTUCHO TINTA IMPRESSORA HP,"RESMA 500,00 FL"
27,CARTUCHO TINTA IMPRESSORA XEROX,"CAIXA 2,00 UN"
27,CARTUCHO TONER IMPRESSORA APPLE,UNIDADE
26,CARTUCHO TONER IMPRESSORA IBM,"CAIXA 1,00 UN"
26,CARTUCHO TINTA IMPRESSORA HP,"CAIXA 50,00 UN"
26,CARTUCHO TINTA IMPRESSORA HP,UNIDADES
26,CARTUCHO IMPRESSÃO,UNIT
25,CARTUCHO TINTA IMPRESSORA HP,PEÇA
25,CARTUCHO IMPRESSÃO,CARTUCHO.
25,CARTUCHO IMPRESSÃO,"CAIXA 10,00 UN"
25,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",UNID.
24,CARTUCHO IMPRESSÃO,UDS
24,CARTUCHO IMPRESSÃO,UNIDADES.
24,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",1
24,CARTUCHO TINTA IMPRESSORA HP,CAIXA COM 02 UN
24,CARTUCHO TINTA IMPRESSORA HP,"2,00 UN"
23,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",1
22,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",UND.
22,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",CARGA
22,CARTUCHO TONER IMPRESSORA / COPIADORA XEROX,"CAIXA 2,00 L"
22,CARTUCHO TONER IMPRESSORA HP,CX
22,CARTUCHO IMPRESSÃO,MATERIAL
21,CARTUCHO IMPRESSÃO,PCS
21,CARTUCHO TINTA IMPRESSORA HP,"POTE 10,00 ML"
21,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",SERV.
21,CARTUCHO TINTA IMPRESSORA HP,"CAIXA 50,00 FL"
21,CARTUCHO TONER IMPRESSORA / COPIADORA XEROX,"CAIXA 5,00 UN"
21,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",UNI
20,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",1
20,CARTUCHO TONER COPIADORA / IMPRESSORA PANASONIC,UND
20,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",RECARGAS
20,CARTUCHO TINTA IMPRESSORA CANON,UN
20,CARTUCHO TONER IMPRESSORA UNISYS,UNIDADE
19,CARTUCHO IMPRESSÃO,UNITÁRIO.
19,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",SERVIÇOS
18,CARTUCHO TINTA IMPRESSORA HP,CX
18,CARTUCHO IMPRESSÃO,UN/
17,CARTUCHO IMPRESSÃO,"GALÃO 20,00 L"
17,MÁQUINA REABASTECIMENTO CARTUCHO IMPRESSORA,UNIDADE
17,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",1
17,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",CARTUCHOS
17,CARTUCHO IMPRESSÃO,PC.
17,CARTUCHO TONER COPIADORA / IMPRESSORA PANASONIC,ROLO
16,CARTUCHO TINTA IMPRESSORA HP,"1,00 UN"
16,CARTUCHO IMPRESSÃO,KT
16,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",SERVICOS
16,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",TRES
16,CARTUCHO TONER IMPRESSORA BROTHER,CX
16,CARTUCHO IMPRESSÃO,PÇS
15,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",194033
15,CARTUCHO IMPRESSÃO,"SACO 100,00 UN"
15,CARTUCHO TINTA IMPRESSORA HP,"CAIXA 100,00 UN"
15,CARTUCHO TINTA IMPRESSORA HP,"CAIXA 10,00 RES"
15,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",MESES
15,CARTUCHO IMPRESSÃO,2
15,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",RECARGA CARTUCHO
15,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",REMANUFATURA
15,CARTUCHO TINTA IMPRESSORA,UM
14,CARTUCHO TINTA IMPRESSORA EPSON,"CAIXA 10,00 UN"
14,CARTUCHO IMPRESSÃO,REFIL
14,CARTUCHO IMPRESSÃO,PCA.
14,CARTUCHO TONER IMPRESSORA / COPIADORA RICOH,UN
14,CARTUCHO IMPRESSÃO,CXA
14,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",X
14,CARTUCHO TINTA IMPRESSORA HP,METRO
14,CARTUCHO IMPRESSÃO,FRASCO
13,CARTUCHO IMPRESSÃO,PE\A
13,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",SERVICO/RECARGA
13,CARTUCHO IMPRESSÃO,CXS
13,CARTUCHO TONER COPIADORA / IMPRESSORA TOSHIBA,"CAIXA 4,00 UN"
13,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",MÊS
13,CARTUCHO IMPRESSÃO,EA
13,CARTUCHO IMPRESSÃO,P\
13,CARTUCHO TINTA IMPRESSORA EPSON,"1,00 UN"
13,CARTUCHO TINTA IMPRESSORA HP,"CAIXA 3000,00 FL"
13,CARTUCHO TONER IMPRESSORA OKIDATA,"CAIXA 24,00 UN"
12,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",SER
12,CARTUCHO TINTA IMPRESSORA HP,*CARTUCHO
12,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",UN.
12,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",PC
12,CARTUCHO TONER IMPRESSORA HP,CAIXA
12,CARTUCHO TONER IMPRESSORA HP,UND
12,CARTUCHO IMPRESSÃO,UNDS
12,CARTUCHO IMPRESSÃO,PCT
12,CARTUCHO IMPRESSÃO,CONJUNTO
12,CARTUCHO TINTA IMPRESSORA HP,NAO INFORMADO
12,CARTUCHO IMPRESSÃO,CJ
12,CARTUCHO TINTA IMPRESSORA HP,U
12,CARTUCHO TONER IMPRESSORA / COPIADORA RICOH,"FRASCO 415,00 G"
11,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",C
11,CARTUCHO TINTA IMPRESSORA HP,"CAIXA 12,00 UN"
11,CARTUCHO TINTA IMPRESSORA EPSON,CAIXA
11,CARTUCHO IMPRESSÃO,1
11,CARTUCHO IMPRESSÃO,1
10,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",SERVIÇO DE RECARGA
10,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",CARTUCHOS
10,CARTUCHO TINTA IMPRESSORA HP,RESMA
10,CARTUCHO TINTA IMPRESSORA CANON,CAIXA
10,CARTUCHO TONER IMPRESSORA OKIDATA,UN
10,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",SERVIÇO
10,CARTUCHO IMPRESSÃO,PCTE
10,CARTUCHO TINTA IMPRESSORA CITIZEN,UNIDADE
10,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""","14,90"
10,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",PACOTE
10,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",UNT
9,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",CONJUNTO
9,CARTUCHO TINTA IMPRESSORA HP,"CAIXA 2500,00 UN"
9,CARTUCHO TONER IMPRESSORA DIGITAL XEIKON,UNIDADE
9,CARTUCHO IMPRESSÃO,DEZ
9,CARTUCHO IMPRESSÃO,10
9,CARTUCHO TINTA IMPRESSORA CANON,"CAIXA 10,00 UN"
9,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",TONNER
9,CARTUCHO TONER IMPRESSORA/COPIADORA KYOCERA,UN
9,CARTUCHO TINTA IMPRESSORA HP,SERVIÇO
9,CARTUCHO TINTA IMPRESSORA HP,PC
9,CARTUCHO TONER IMPRESSORA/COPIADORA 3M,"FRASCO 110,00 G"
9,CARTUCHO IMPRESSÃO,"CAIXA 3000,00 FL"
8,CARTUCHO IMPRESSÃO,UNIDAE
8,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",PC
8,CARTUCHO TINTA IMPRESSORA HP,"CAIXA 1500,00 FL"
8,CARTUCHO TINTA IMPRESSORA HP,"PACOTE 100,00 FL"
8,CARTUCHO IMPRESSÃO,UNI.
